c_location,population,highestinfectioncount,percentofpopulationinfected
Europe,744807803,244021972,32.76307942
Hong Kong,7488863,2421943,32.34059696
Montserrat,4413,1403,31.79243145
Croatia,4030361,1260837,31.2834756
Oceania,45038860,13536261,30.05462616
United States,338289856,100303927,29.65029108
Mongolia,3398373,1007250,29.63918322
Wallis and Futuna,11596,3415,29.44981028
Uruguay,3422796,1002988,29.30317787
Bermuda,64207,18557,28.90183313
Spain,47558632,13651239,28.70401949
New Caledonia,289959,79162,27.30110119
Norway,5434324,1473504,27.11476165
Finland,5540745,1438205,25.95688847
Chile,19603736,4997056,25.49032491
French Polynesia,306292,77875,25.42508456
Sweden,10549349,2665176,25.26389069
Tuvalu,11335,2828,24.94927217
